adandygal,b'I loved this brownie! @BaseCultureLLC https://t.co/Frqcr2pjFv',2
adandygal,"b""She doesn't need your pity and she doesn't need permission to post photos she took in a public place. Seems like yo\xe2\x80\xa6 https://t.co/QR21ydLDEX""",4
adandygal,b'@GSquirrelPatton @anotherarabb Copy the email and send it to me so that I can do the same.',4
adandygal,b'RT @GSquirrelPatton: @adandygal @anotherarabb Wanna see the email? Might give you a god idea. https://t.co/9U60m83Vk5',4
adandygal,b'@humz__ @PoliticalKathy Anyone can criticize an ideology. Try again.',4
adandygal,"b""@GSquirrelPatton @anotherarabb I see what you're doing. I might do the same.""",4
adandygal,b'@Imamofpeace https://t.co/LhzyzXsQ7Q',4
adandygal,b'@Imamofpeace https://t.co/P9PoVv7bNw',4
adandygal,b'Maybe not in western societies. Try telling that to the women in Iran who are protesting the Hijab and are being ja\xe2\x80\xa6 https://t.co/TtdlTT5UWx',0
adandygal,b'RT @PoliticalKathy: #IStandWithKathyZhu',4
adandygal,"b'RT @PoliticalKathy: If I get called up to student conduct, I will show them this hashtag and the amount of support I am getting for simply\xe2\x80\xa6'",4
adandygal,"b""@anotherarabb Ah, no wonder you don't think the hijab is oppressive. I see now. America is your safe haven with the religion you follow.""",0
adandygal,"b""I'm tired of Muslims and Sjws thinking they can have anyone and everyone expelled from a university for having an o\xe2\x80\xa6 https://t.co/I3foVXiqs6""",0
adandygal,"b""@PoliticalKathy We're with you kath!""",4
adandygal,"b'RT @PoliticalKathy: In this video, I\xe2\x80\x99m explaining exactly what happened today in relation to the outctry on a hijab\xe2\x80\x9d booth. https://t.co/9EOLK\xe2\x80\xa6'",0
adandygal,"b'RT @bridgettemariah: @anotherarabb If you\xe2\x80\x99re going to have a public booth, it implies the booth is open to the public. To walk past, to spe\xe2\x80\xa6'",4
adandygal,b'Another Muslim playing victim https://t.co/TBYl4oa7WH',0
adandygal,b'I support you! @PoliticalKathy',4
adandygal,b'RT @gizmostripeycat: @anotherarabb @PoliticalKathy is ignorant for not wanting to try on a Hijab? Are you willing to try bacon \xf0\x9f\xa5\x93? I didn\xe2\x80\x99t\xe2\x80\xa6',0
adandygal,"b'RT @PoliticalKathy: @anotherarabb @thenewdesertgrl 1) UCF is a public campus, meaning I can take pictures of anything, especially a public\xe2\x80\xa6'",4
adandygal,"b""RT @ScottPresler: @anotherarabb You invited her to try one on and she said no.\n\nWhen women aren't allowed to say no, they find themselves l\xe2\x80\xa6""",1
adandygal,b'lmao wtf is wrong with millennials damn https://t.co/MPithB6wOY',1
adandygal,"b'""No thank you"" is now offensive according to this Muslim https://t.co/P9PoVv7bNw'",0
adandygal,"b'""twitter do your thing"" spineless ass motherfucker https://t.co/LhzyzXsQ7Q'",1
adandygal,b'@Child_of_Starrs I have one pair of tennis and they have holes \xf0\x9f\x98\xad and two pairs of causal white girl sandals and two\xe2\x80\xa6 https://t.co/YnP4HyZsiy',4
adandygal,"b""I have but one pair of jeans lmao \xf0\x9f\x98\xadwhy in the world don't I spoil myself""",4
adandygal,"b""I'm cleaning out my closet so that I can do away with clothes i never wear (ugly clothes I've had for years) and I\xe2\x80\xa6 https://t.co/EUky9ZTgdQ""",4
adandygal,b'Should I',4
adandygal,b'@RaisedInUptown I love them!',4
adandygal,"b""I'm at 285mg of sodium today \nWhat I've eaten today:\n2 corn tortillas with egg whites and green bell peppers with o\xe2\x80\xa6 https://t.co/gtFzpqNsNz""",4
adandygal,"b""I just ate a bowl of peanuts before dinner and I'm not ashamed https://t.co/mTXUgztMJB""",4
